"target_id","ext_gene","target_biotype","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSSSCG00000013893","ARRDC2","protein_coding",2,12.4757174319392,4.53737286492191e-11,8.36485759886628e-10
"ENSSSCG00000013905","FKBP8","protein_coding",1,8.69847464647736,4.71915659258842e-11,8.68950243428058e-10
"ENSSSCG00000011346","PLXNB1","protein_coding",1,9.32659007098492,4.86493388879946e-11,8.94714616396175e-10
"ENSSSCG00000013284","TTC17","protein_coding",2,13.1372360651013,4.90458505218283e-11,9.00740988564911e-10
"ENSSSCG00000017947","ACADVL","protein_coding",2,14.5888889901281,4.90948925914134e-11,9.00740988564911e-10
"ENSSSCG00000028144","EPHX3","protein_coding",1,5.6290537149732,5.06545305918451e-11,9.27129570101998e-10
"ENSSSCG00000009778","RILPL2","protein_coding",2,8.43551027324841,5.06098979793134e-11,9.27129570101998e-10
"ENSSSCG00000011077","MSRB2","protein_coding",2,9.31623414118041,5.18640931640553e-11,9.48132698356767e-10
"ENSSSCG00000032341","AIF1","protein_coding",3,12.3655020711657,5.34283934698233e-11,9.75562888171217e-10
"ENSSSCG00000032341","AIF1","nonsense_mediated_decay",3,12.3655020711657,5.34283934698233e-11,9.75562888171217e-10
"ENSSSCG00000016434","RHEB","protein_coding",6,25.21777024761,5.41749853451832e-11,9.88014679033932e-10
"ENSSSCG00000055828",NA,"protein_coding",3,16.9471254082589,5.48341699300722e-11,9.98844599572459e-10
"ENSSSCG00000016272","PSMD1","protein_coding",2,14.960357851634,5.75457707796822e-11,1.04642327280219e-09
"ENSSSCG00000007492","FAM210B","protein_coding",2,11.9491298846183,5.75830643477486e-11,1.04642327280219e-09
"ENSSSCG00000007849","CRYM","protein_coding",2,11.2506227361798,5.78658449028832e-11,1.04906726886212e-09
"ENSSSCG00000025303","FAM50A","protein_coding",2,12.1906269690097,5.78057666738452e-11,1.04906726886212e-09
"ENSSSCG00000032067",NA,"protein_coding",4,24.7849055376158,5.79954647385867e-11,1.05017143080547e-09
"ENSSSCG00000036723","EMP1","protein_coding",1,9.61107316483506,5.87454913462857e-11,1.06249389851513e-09
"ENSSSCG00000023607","CYP4F22","protein_coding",1,3.77120951599915,5.95936529616186e-11,1.07656004516834e-09
"ENSSSCG00000006035","ANGPT1","protein_coding",2,6.08161517568431,6.01482071780069e-11,1.08529521877388e-09
"ENSSSCG00000010203",NA,"protein_coding",7,45.5426126646545,6.02258357284116e-11,1.08541444273268e-09
"ENSSSCG00000010416","ZNF32","protein_coding",2,9.91007469155717,6.07929816782996e-11,1.09434527560595e-09
