"target_id","ext_gene","target_biotype","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSSSCG00000040422","C12orf76","protein_coding",1,5.11091909299947,0.0131188621179324,0.0232126368855423
"ENSSSCG00000008394","FANCL","protein_coding",3,7.32602395728731,0.0131201860657413,0.0232126368855423
"ENSSSCG00000032781","SRSF12","protein_coding",1,4.23585133827985,0.0131268067430464,0.0232216561513589
"ENSSSCG00000005136","IFNE","protein_coding",1,3.4412712478442,0.0131466684503245,0.0232487008232631
"ENSSSCG00000012084","PRDM15","protein_coding",1,6.0236595295162,0.0131451302096846,0.0232487008232631
"ENSSSCG00000006166","NDUFB8","protein_coding",1,8.22433212919379,0.0131451465429319,0.0232487008232631
"ENSSSCG00000017571","EME1","protein_coding",1,4.82040109510987,0.0131545242814631,0.0232598957291316
"ENSSSCG00000034301","ZNF304","protein_coding",1,5.04115324482893,0.013157548430272,0.0232625456247209
"ENSSSCG00000050482",NA,"protein_coding",1,2.85328336725567,0.0131806068455807,0.0233006113828263
"ENSSSCG00000024399","EVC2","protein_coding",1,5.56834399704977,0.013192228952799,0.0233184536108996
"ENSSSCG00000015801","TLR3","protein_coding",3,12.8198372502285,0.0132017996510875,0.023329962090559
"ENSSSCG00000001566","RAB44","protein_coding",1,2.97766254716526,0.0132014740439567,0.023329962090559
"ENSSSCG00000003783","FPGT","protein_coding",2,9.74874304826415,0.0132047374192103,0.023332449699367
"ENSSSCG00000055254",NA,"lncRNA",1,1.99690811969591,0.0132082943193023,0.0233360305961118
"ENSSSCG00000017705","CCL5","protein_coding",1,3.71638101919562,0.0132202368265026,0.0233544243938066
"ENSSSCG00000032747","GATC","protein_coding",1,6.75123522355742,0.0132263572012198,0.02336252993877
"ENSSSCG00000010114","ESS2","protein_coding",1,6.68497026141786,0.0132280640504834,0.0233628386270352
"ENSSSCG00000001841","RHCG","protein_coding",1,4.66716841606418,0.0132296638011602,0.0233629581127842
"ENSSSCG00000026063","DPP9","protein_coding",2,11.8217974190244,0.0132349276529583,0.0233695474502039
"ENSSSCG00000010012","SLC35E4","protein_coding",1,4.67257306918618,0.0132366478367419,0.0233698787614307
"ENSSSCG00000015233","RPUSD4","protein_coding",1,6.74683012502121,0.0132396830627426,0.0233725314915214
"ENSSSCG00000061655",NA,"lncRNA",1,4.44418460664984,0.0132465370800502,0.0233819242891175
"ENSSSCG00000029261",NA,"protein_coding",3,15.3880996419771,0.0132521024135641,0.0233890404750509
"ENSSSCG00000016114","FAM117B","protein_coding",1,5.79832474533091,0.0132634736620699,0.0234064008648193
"ENSSSCG00000027478","PPCDC","protein_coding",1,5.22938910547693,0.0132751517691779,0.0234242986956947
"ENSSSCG00000022521","DPY19L3","protein_coding",1,6.69356793427413,0.0132789761591983,0.0234261260968785
"ENSSSCG00000013714",NA,"protein_coding",1,7.06025307864014,0.0132792598846755,0.0234261260968785
"ENSSSCG00000016035","COL5A2","protein_coding",2,12.9983770840035,0.0132821939370995,0.0234268511906395
"ENSSSCG00000001207","PGBD1","protein_coding",1,4.88676174099426,0.0132827434844428,0.0234268511906395
"ENSSSCG00000036239","GJA8","protein_coding",1,3.42443139437456,0.0132854470260867,0.0234271643161877
"ENSSSCG00000006014","RAD21","protein_coding",1,8.39610413850886,0.0132859936393463,0.0234271643161877
"ENSSSCG00000055354",NA,"lncRNA",1,3.99009655515793,0.0132946361766839,0.0234396932660716
"ENSSSCG00000007503","RAE1","protein_coding",2,13.3663987530032,0.0133117038284243,0.0234670718704788
"ENSSSCG00000058832","NAT14","protein_coding",1,3.54772265240313,0.0133181640585661,0.0234757465875708
"ENSSSCG00000033833","DUSP18","protein_coding",2,8.26400983089487,0.0133262307569298,0.023487250671801
"ENSSSCG00000003238","SPACA6","protein_coding",1,4.47074487059006,0.0133326236888813,0.0234953387423273
"ENSSSCG00000011056","FRMD4A","protein_coding",2,7.03246876500294,0.0133339013362254,0.0234953387423273
"ENSSSCG00000011391","CDHR4","protein_coding",1,5.60078555123063,0.0133399094260062,0.0235032095710189
"ENSSSCG00000012489","TRMT2B","protein_coding",1,5.02178964328205,0.0133513120066333,0.0235205818841441
"ENSSSCG00000000691","COPS7A","protein_coding",6,28.9655682562879,0.0133578721535476,0.0235294204076986
"ENSSSCG00000003926","BTBD19","protein_coding",2,9.60630220879323,0.0133616910825446,0.0235334288886259
"ENSSSCG00000053589",NA,"protein_coding",1,4.506863467505,0.0133772227080248,0.0235580631798902
"ENSSSCG00000033019",NA,"protein_coding",3,17.9466034413781,0.0133851225367909,0.0235692532983284
"ENSSSCG00000022101","BRCA1","protein_coding",4,14.7130853451964,0.0133980151199412,0.0235892313317151
"ENSSSCG00000010517",NA,"protein_coding",1,9.09750268372904,0.013402474896896,0.0235943592360618
"ENSSSCG00000007436","MMP9","protein_coding",1,6.40194259175507,0.0134379983303024,0.0236514354269137
"ENSSSCG00000035134","MRPS7","protein_coding",1,7.31862580941725,0.0134374604840659,0.0236514354269137
"ENSSSCG00000051406",NA,"lncRNA",1,3.42807332748097,0.0134447405723554,0.0236605711468952
"ENSSSCG00000017528","SNX11","protein_coding",1,7.35500949869772,0.0134464842225345,0.0236609090594771
"ENSSSCG00000037985","MTRES1","protein_coding",1,6.05349321140982,0.0134518223937009,0.0236675712105162
"ENSSSCG00000002455","GOLGA5","protein_coding",1,7.48970988856982,0.0134554939076757,0.0236712997921258
"ENSSSCG00000002680","TAF1C","protein_coding",1,6.35908128124347,0.013462319523777,0.0236805756624842
"ENSSSCG00000009169","SLC39A8","protein_coding",1,7.2820491068069,0.013471910585537,0.0236919806849099
"ENSSSCG00000028712","ATPAF2","protein_coding",1,6.54117287043563,0.0134711151619685,0.0236919806849099
"ENSSSCG00000008006","FBXL16","protein_coding",1,4.5330661087076,0.013476915745114,0.0236980498382429
"ENSSSCG00000033358","VPS37D","protein_coding",1,5.42011018351258,0.0134937037339039,0.0237248343408625
"ENSSSCG00000035344","UBE2S","protein_coding",1,7.10413701314662,0.0134958344968186,0.0237258450820828
"ENSSSCG00000041987",NA,"lncRNA",1,4.3432616184668,0.0135132971857484,0.0237428584843273
"ENSSSCG00000027855","SOCS1","protein_coding",1,3.14989191721298,0.0135104869380024,0.0237428584843273
"ENSSSCG00000007770","ORAI3","protein_coding",1,7.00968669416138,0.0135104960714612,0.0237428584843273
"ENSSSCG00000062223",NA,"protein_coding",1,4.43791981873845,0.0135078260828878,0.0237428584843273
"ENSSSCG00000010971","ARID3C","protein_coding",1,2.0387908341501,0.0135123601376079,0.0237428584843273
"ENSSSCG00000008068","IARS1","protein_coding",7,33.2391474683713,0.0135173112556875,0.0237471750389375
